name,category,price,stock
Bluetooth Tracker,Accessories,19.99,35
Garlic & Herb Goat Cheese,Food - Dairy,5.49,24
Compressed Towel Tablets,Travel,12.99,36
Apple Pie Filling,Food - Canned Goods,3.49,60
Organic Italian Seasoning,Food - Spices,2.99,7
Portable Speakers,Audio,69.99,49
Creamy Coleslaw Mix,Food - Produce,2.39,50
Portable Bluetooth Headphones,Audio,79.99,34
Sturdy Bookends,Office,22.99,86
Collapsible Storage Crates,Home,18.99,52
Electric Skillet,Kitchen,49.99,49
Cheesy Broccoli Soup Mix,Food - Soups,2.99,20
Quinoa Salad,Food - Prepared Foods,5.99,72
Smartphone Car Mount with Wireless Charging,Automotive,39.99,27
Leek and Potato Soup,Food - Soups,3.29,64
Thai Peanut Dressing,Food - Condiments,3.29,64
Maple Breakfast Sausage,Food - Meat,5.99,63
Creamy Coleslaw Mix,Food - Produce,2.39,87
Insulated Cooler,Outdoor,39.99,79
Grapes (red),Food - Produce,3.49,67
Rechargeable Battery Organizer,Home,17.99,41
Floral Summer Dress,Clothing - Dresses,39.99,34
Heat-Resistant Silicone Mat,Kitchen,19.99,98
Multi-Purpose Plant Care Tool,Garden,24.99,59
Pear and Gorgonzola Salad,Food - Salads,5.49,61
Vegetable Korma,Food - Frozen,6.49,12
Sunglasses,Accessories,29.99,23
Linen Trousers,Clothing - Bottoms,44.99,47
Foam Muscle Roller,Fitness,24.99,21
Spicy Kimchi,Food - Condiments,4.79,96
Set of Herb Garden Markers,Garden,8.99,26
Portable Air Purifier,Health,69.99,68
Graphic Hoodie,Clothing - Outerwear,49.99,52
Digital Voice Recorder,Electronics,49.99,66
Honey BBQ Ribs,Food - Meat,12.99,64
Computer Monitor Stand,Office,29.99,43
Marinara Parmesan Baked Ziti,Food - Frozen Meals,8.49,78
V-Neck Sweater,Clothing - Tops,49.99,14
Bamboo Cutting Board,Kitchen,22,20
Wireless Earbuds Case,Accessories,12.99,44
Tailgating Set,Outdoor,89.99,28
Spinach and Feta Wraps,Food - Prepared Foods,4.99,89
Digital Photo Frame,Home,79.99,9
Mango Chilli Sauce,Food - Condiments,3.99,50
Pet Travel Bowl,Pets,10.99,78
Roasted Garlic Aioli,Food - Condiments,3.79,67
Deep Tissue Massage Gun,Health,89.99,84
Streaming Device,Electronics,49.99,76
Caramel Apple Taffy,Food - Confectionery,1.99,28
Water Bottle,Fitness,18.99,69
Collapsible Folding Chair,Outdoor,29.99,58
Pumpkin Spice Latte Mix,Food - Beverages,3.29,1
Beef Jerky,Food - Snacks,5.99,27
Reusable Food Storage Bags,Kitchen,19.99,61
Almond Flour Pizza Crust,Food - Frozen Foods,7.99,63
White Rice,Food - Grains,1.49,64
Insulated Wine Tote,Accessories,24.99,26
Classic Bagels,Food - Bakery,2.99,31
Solar Garden Lights,Outdoor,39.99,49
Lemon Herb Grilled Chicken,Food - Meat,9.99,67
Reusable Coffee Filter,Kitchen,10.99,2
Camera Lens Cleaning Kit,Photography,14.99,49
Mini Pretzels,Food - Snacks,2.99,85
Pet Reflective Vest,Pets,18.99,63
Folding Exercise Bike,Fitness,199.99,11
Roasted Garlic Pasta Sauce,Food - Sauces,4.99,19
Canned Coconut Milk,Food - Canned Goods,1.89,51
Pet Safety Harness,Pets,24.99,97
Garlic Butter Shrimp,Food - Seafood,8.99,22
Manual Coffee Grinder,Kitchen,22.99,96
Honey Ginger Tea,Food - Beverages,2.99,39
Puzzle,Toys,27.99,53
Classic Black Trousers,Clothing - Pants,54.99,98
Legging Pants,Clothing - Activewear,34.99,59
Portable Phone Mug Holder,Automotive,14.99,58
Peanut Butter Banana Smoothie,Food - Beverages,3.99,41
Adjustable Height Standing Desk Converter,Office,89.99,40
Fleece Throw Blanket,Home,29.99,16
Matcha Green Tea Powder,Food - Beverages,14.99,100
Electric Knife,Kitchen,39.99,88
Brownie Bites,Food - Baked Goods,4.99,15
Silicone Baking Mat,Kitchen,15.99,26
Biodegradable Phone Case,Accessories,23.99,88
Tattoo Kit,Art Supplies,99.99,23
Organic Cereal Bars,Food - Snacks,4.29,58
Lemon Garlic Marinade,Food - Condiments,4.29,81
Miso Dressing,Food - Dressings,3.49,71
Wrap Jumpsuit,Clothing - Jumpsuits,54.99,35
Dish Rack,Kitchen,24.99,65
Natural Soy Candles,Home,19.99,99
Classic Caesar Dressing,Food - Condiments,3.49,23
Vegan Protein Powder,Health,34.99,11
Cinnamon Roll Dough,Food - Bakery,4.49,73
Spinach and Cheese Stuffed Shells,Food - Frozen Meals,5.99,15
Mango Salsa,Food - Condiments,3.49,52
Coconut Chia Pudding,Food - Dairy,3.49,54
Greek Feta Cheese,Food - Dairy,4.99,54
Pet Grooming Kit,Pets,39.99,6
Baking Soda,Food - Baking,0.99,27
Wild Rice Pilaf,Food - Grains,3.79,59
